@relation 2206

@attribute ww3PeriodPrevLect2 numeric
@attribute ww3PeriodPrevLect1 numeric
@attribute ww3Direction numeric
@attribute ww3Period numeric
@attribute ww3DirectPrevLect3 numeric
@attribute ww3HeightPrevLect3 numeric
@attribute ww3DirectPrevLect2 numeric
@attribute ww3Height numeric
@attribute ww3HeightPrevLect2 numeric
@attribute ww3DirectPrevLect1 numeric
@attribute ww3HeightPrevLect1 numeric
@attribute ww3PeriodPrevLect3 numeric
@attribute visualObservation numeric

@data
13.459999,13.429999,309.73999,13.42,311.100006,3.65,310.809998,3.78,3.67,310.339996,3.71,13.52,3.048
13.42,13.42,308.48999,13.419999,310.339996,3.71,309.73999,3.85,3.78,309.089966,3.83,13.429999,2.4384
13.349999,13.32,306.269989,13.26,306.539978,3.73,306.329987,3.47,3.66,306.25,3.58,13.37,2.4384
12.32,12.219999,308.079987,12.11,308.160004,3.07,308.209991,2.83,2.98,308.149994,2.91,12.44,2.4384
15.87,15.33,298.220001,15.01,300.25,3.42,299.320007,3.53,3.53,299.299988,3.55,16.26,1.8288
15.01,14.829999,296.320007,14.709999,299.299988,3.55,298.220001,3.39,3.53,297.189972,3.48,15.33,1.8288
13.469999,13.36,294.970001,13.259999,295.050018,3.04,294.920013,2.86,2.98,294.889984,2.93,13.59,1.8288
12.219999,12.16,297.820007,12.099999,296.439972,2.48,296.850006,2.33,2.42,297.319977,2.37,12.29,1.8288
14.85,14.349999,307.160004,13.88,308.440002,3.29,308.51001,3.61,3.54,308.320007,3.64,15.449999,1.8288
13.88,13.599999,306.619995,13.42,308.320007,3.64,307.160004,3.45,3.61,306.820007,3.53,14.349999,1.8288
12.21,12.11,311.640015,11.99,307.339996,3.01,308.469971,2.66,2.9,309.98999,2.78,12.32,1.8288
13.76,13.619999,301.929993,13.55,304.48999,2.81,303.649994,3.03,2.86,302.769989,2.95,14.049999,1.2192
13.619999,13.55,301.22998,13.48,303.649994,2.86,302.769989,3.07,2.95,301.929993,3.03,13.76,1.2192
12.7,12.49,302.839996,12.34,300.119995,3.12,301.97998,2.88,3.07,302.420013,2.98,12.96,1.2192
14.549999,14.32,299.799988,13.9,301.779968,2.35,301.880005,2.41,2.38,301.790009,2.4,14.73,1.2192
13.9,13.650001,300.149994,13.509999,301.790009,2.4,299.799988,2.37,2.41,300.029999,2.39,14.32,1.2192
12.4,12.16,299.319977,12.049999,299.98999,2.15,299.25,1.93,2.08,299.359985,2.01,12.95,1.2192
12.039999,12.08,302.320007,12.139999,38.93,1.53,299.619995,1.68,1.55,300.809967,1.6,8.42,1.2192
13.23,13.02,315.899994,12.58,316.279999,2.36,317.429993,2.52,2.46,318.100006,2.51,13.440001,1.2192
13.02,12.58,316.51001,12.299999,317.429993,2.46,318.100006,2.51,2.51,315.899994,2.52,13.23,1.2192
16.709999,16.25,302.699982,15.949999,317.320007,2.26,303.049988,3.29,2.57,302.98999,2.94,9.91,1.2192
15.54,15.059999,302.470001,14.869999,302.699982,3.29,303.75,3.77,3.56,303.070007,3.73,15.949999,1.2192
14.34,13.959999,300.160004,13.54,300.369995,3.5,299.429993,3.07,3.35,301.059998,3.2,14.5,1.2192
12.12,12,299.409973,11.91,300.080017,2.66,299.629974,2.43,2.57,299.390015,2.49,12.33,1.2192
10.9,10.969999,309.230011,11.2,305.899994,2.09,305.429993,2.28,2.13,306.399994,2.2,10.9,3.048
11.2,11.73,336.47998,12.03,306.399994,2.2,309.230011,2.36,2.28,330.72998,2.33,10.969999,2.4384
11.39,12.83,329.209991,12.969999,337.779968,2.33,335.630005,2.99,2.5,331.249969,2.75,11.09,1.8288
12.969999,12.459999,323.98999,12.02,331.249969,2.75,329.209991,3.1,2.99,325.399994,3.09,12.83,1.8288
9.41,9.26,75.549995,9.219999,338.349976,2.62,64.029999,2.85,2.68,70.249992,2.76,9.73,1.8288
9.219999,14.549999,309.959991,13.879999,70.249992,2.76,75.549995,2.95,2.85,310.999969,2.91,9.26,1.8288
11.98,11.78,315.549988,11.059999,308.350006,2.86,308.569977,2.71,2.81,308.559998,2.77,12.29,1.8288
9.9,9.84,43.679996,9.78,37.959999,2.45,35.27,2.31,2.42,36.519997,2.37,10,1.8288
9.08,8.99,313.429993,15.58,83.049995,2.15,82.229996,2.52,2.24,82.959999,2.35,9.16,1.2192
13.549999,13.419999,309.049988,13.309999,309.249969,3.25,309.599976,3.18,3.28,309.480011,3.25,13.76,1.2192
13.309999,13.2,307.149994,13.05,309.480011,3.25,309.049988,2.94,3.18,308.309998,3.07,13.419999,1.2192
12.13,12.12,316.819977,12.059999,313.949982,3.84,314.279999,3.89,3.92,315.019989,3.93,12.099999,1.8288
12.059999,11.95,320.139984,11.68,315.019989,3.93,316.819977,3.78,3.89,320.079987,3.84,12.12,1.8288
11.900001,11.77,344.369995,11.56,343.130005,3.47,344.819977,3.19,3.38,346.48999,3.29,11.999999,1.8288
10.94,11.28,300.369995,13.14,357.660004,2.38,357.609985,2.55,2.44,355.819977,2.51,10.85,1.8288
13.059999,12.96,308.519989,12.74,300.369995,2.55,298.819977,2.67,2.6,297.759979,2.64,13.14,1.8288
8.74,8.8,52.75,8.85,70.209999,2.61,69.279999,2.68,2.66,53.41,2.69,8.59,1.8288
8.85,8.929999,50.739998,9.01,53.41,2.69,52.75,2.64,2.68,51.809998,2.66,8.8,1.8288
8.940001,8.85,60.459999,8.73,47.719997,2.44,48.369999,2.41,2.43,49.309998,2.43,9.009999,1.8288
8.389999,8.35,70.790001,8.3,66.509995,2.33,68.039993,2.29,2.32,69.449997,2.31,8.43,1.2192
7.93,7.97,85.889999,8.04,84.739998,2.27,85.150002,2.25,2.28,85.459999,2.27,7.889999,1.2192
8.04,8.11,86.040001,8.16,85.459999,2.27,85.889999,2.2,2.25,85.969994,2.22,7.97,1.2192
8.46,8.53,89.089996,8.61,87.019997,2.18,87.57,2.18,2.18,88.239998,2.18,8.389999,1.2192
9.54,9.58,95.189995,9.62,95.629997,2,95.589996,2.12,2.03,95.470001,2.06,9.52,1.2192
9.8,9.73,72.889999,9.63,66.360001,2.17,59.709999,2.24,2.18,54.5,2.2,9.87,1.2192
6.849999,14.74,308.149994,14.33,68.75,2.51,67.82,2.78,2.6,307.97998,2.69,6.66,1.2192
7.71,7.77,79.349998,7.69,74.039993,3.15,74.919998,3.2,3.14,76.459999,3.11,7.56,2.4384
7.77,7.69,80.410004,7.73,74.919998,3.14,76.459999,3.23,3.11,79.349998,3.2,7.71,3.048
7.62,7.48,86.239998,7.46,84.699997,2.81,85.239998,2.71,2.73,85.669998,2.73,7.69,3.048
7.34,7.48,87.25,7.45,86.489998,2.87,91.079994,2.94,2.93,89.230003,2.92,7.11,3.048
7.55,7.66,77.25,7.7,82.259995,3.04,80.760002,3.01,3.08,79.07,3.05,7.44,3.048
7.71,7.76,74.029999,7.78,76.019997,3,75.110001,3.04,3.01,74.409996,3.01,7.68,3.048
7.91,7.87,74.699997,7.85,74.059998,2.98,73.949997,2.81,2.89,74.709999,2.85,7.89,3.048
