@relation 'North Shore Oahu'

@attribute buoyHeight numeric
@attribute buoyPeriod numeric
@attribute buoyDirection numeric
@attribute ww3Height numeric
@attribute ww3Period numeric
@attribute ww3Direction numeric
@attribute visualObservation numeric

@data
2.28,14.29,322,3.95,13.44,317.999969,9
2.4,14.29,324,3.95,13.44,317.999969,9
2.32,13.33,321,3.95,13.44,317.999969,9
2.21,14.29,321,3.95,13.44,317.999969,9
2.23,13.33,322,3.95,13.44,317.999969,9
1.96,12.5,325,3.95,13.44,317.999969,9
2.11,12.5,324,3.95,13.44,317.999969,9
2.04,12.5,325,3.95,13.44,317.999969,9
2.17,13.33,317,3.95,13.44,317.999969,9
2.4,12.5,322,3.95,13.44,317.999969,9
2.35,12.5,319,3.95,13.44,317.999969,9
2.45,14.29,312,3.95,13.44,317.999969,9
2.38,10.53,318,3.95,13.44,317.999969,9
2.43,12.5,324,3.95,13.44,317.999969,9
2.37,13.33,325,3.95,13.44,317.999969,9
2.64,12.5,324,3.95,13.44,317.999969,9
2.64,12.5,325,3.95,13.44,317.999969,9
2.58,13.33,321,3.95,13.44,317.999969,9
2.32,12.5,328,2.84,12.56,313.899994,20
2.57,11.76,324,2.84,12.56,313.899994,20
2.61,13.33,321,2.84,12.56,313.899994,20
2.89,13.33,324,2.84,12.56,313.899994,20
2.38,11.76,319,2.84,12.56,313.899994,20
2.56,11.11,324,2.84,12.56,313.899994,20
2.66,12.5,317,2.84,12.56,313.899994,20
2.67,13.33,322,2.84,12.56,313.899994,20
2.55,13.33,317,2.84,12.56,313.899994,20
2.54,10.53,322,2.84,12.56,313.899994,20
2.76,14.29,322,2.84,12.56,313.899994,20
2.63,14.29,315,2.84,12.56,313.899994,20
2.62,13.33,326,2.84,12.56,313.899994,20
2.85,13.33,315,2.84,12.56,313.899994,20
3.42,15.38,319,2.84,12.56,313.899994,20
3.11,16.67,318,2.84,12.56,313.899994,20
3.53,14.29,319,2.84,12.56,313.899994,20
3.39,14.29,318,2.84,12.56,313.899994,20
3.74,15.38,322,2.84,12.56,313.899994,20
3.68,15.38,318,2.84,12.56,313.899994,20
4,14.29,317,2.84,12.56,313.899994,20
3.61,15.38,317,2.84,12.56,313.899994,20
3.78,14.29,325,2.84,12.56,313.899994,20
4.1,14.29,318,2.84,12.56,313.899994,20
4.28,15.38,318,2.84,12.56,313.899994,20
4.06,15.38,325,2.84,12.56,313.899994,20
4.34,15.38,325,2.84,12.56,313.899994,20
4.03,15.38,319,2.84,12.56,313.899994,20
4.14,15.38,321,5.19,15.709999,314.670013,27
4.56,15.38,319,5.19,15.709999,314.670013,27
4.43,16.67,314,5.19,15.709999,314.670013,27
4.37,16.67,314,5.19,15.709999,314.670013,27
3.98,15.38,321,5.19,15.709999,314.670013,27
4.45,15.38,319,5.19,15.709999,314.670013,27
4.15,16.67,312,5.19,15.709999,314.670013,27
4.42,13.33,326,5.19,15.709999,314.670013,27
4.11,15.38,331,5.19,15.709999,314.670013,27
5.25,16.67,317,5.19,15.709999,314.670013,27
4.77,16.67,319,5.19,15.709999,314.670013,27
4.91,18.18,312,5.19,15.709999,314.670013,27
4.93,16.67,324,5.19,15.709999,314.670013,27
4.84,15.38,314,5.19,15.709999,314.670013,27
5.35,18.18,314,5.19,15.709999,314.670013,27
4.87,16.67,311,5.19,15.709999,314.670013,27
4.78,18.18,311,5.19,15.709999,314.670013,27
5.27,15.38,312,5.19,15.709999,314.670013,27
5,18.18,308,5.19,15.709999,314.670013,27
5.1,16.67,312,5.19,15.709999,314.670013,27
5.14,16.67,314,5.19,15.709999,314.670013,27
5.15,16.67,305,5.19,15.709999,314.670013,27
5.24,18.18,310,5.19,15.709999,314.670013,27
4.92,16.67,311,5.19,15.709999,314.670013,27
4.98,16.67,312,5.19,15.709999,314.670013,27
4.44,16.67,305,5.19,15.709999,314.670013,27
4.76,15.38,315,5.19,15.709999,314.670013,27
4.8,16.67,307,5.19,15.709999,314.670013,27
4.39,15.38,314,5.88,15.809999,310.009979,14
4.65,16.67,307,5.88,15.809999,310.009979,14
4.05,16.67,310,5.88,15.809999,310.009979,14
4.31,16.67,308,5.88,15.809999,310.009979,14
4.35,16.67,315,5.88,15.809999,310.009979,14
3.99,16.67,315,5.88,15.809999,310.009979,14
3.98,14.29,325,5.88,15.809999,310.009979,14
4.41,15.38,308,5.88,15.809999,310.009979,14
3.97,16.67,314,5.88,15.809999,310.009979,14
3.93,16.67,312,5.88,15.809999,310.009979,14
3.96,16.67,311,5.88,15.809999,310.009979,14
3.95,16.67,312,5.88,15.809999,310.009979,14
4.05,16.67,315,5.88,15.809999,310.009979,14
3.8,15.38,315,5.88,15.809999,310.009979,14
2.54,15.38,317,5.88,15.809999,310.009979,14
2.34,14.29,314,5.88,15.809999,310.009979,14
2.85,15.38,310,5.88,15.809999,310.009979,14
2.44,15.38,311,5.88,15.809999,310.009979,14
2.39,15.38,305,5.88,15.809999,310.009979,14
2.55,15.38,304,5.88,15.809999,310.009979,14
2.49,14.29,311,5.88,15.809999,310.009979,14
2.12,12.5,326,5.88,15.809999,310.009979,14
2.08,15.38,295,5.88,15.809999,310.009979,14
2.2,14.29,324,5.88,15.809999,310.009979,14
2.3,14.29,307,5.88,15.809999,310.009979,14
2.03,12.5,317,5.88,15.809999,310.009979,14
2.02,15.38,298,5.88,15.809999,310.009979,14
2.06,11.76,331,5.88,15.809999,310.009979,14
2.12,13.33,311,3.55,13.65,304.329987,15
1.98,13.33,314,3.55,13.65,304.329987,15
2.12,14.29,294,3.55,13.65,304.329987,15
1.87,12.5,324,3.55,13.65,304.329987,15
2,12.5,308,3.55,13.65,304.329987,15
1.75,12.5,319,3.55,13.65,304.329987,15
1.85,14.29,294,3.55,13.65,304.329987,15
1.7,14.29,297,3.55,13.65,304.329987,15
1.6,14.29,294,3.55,13.65,304.329987,15
