@relation NoBuoyStrategy

@attribute ww3Height numeric
@attribute ww3Period numeric
@attribute ww3Direction numeric
@attribute visualObservation numeric

@data
2.44,7.45,84.290001,2.4384
2.41,7.5,84.479996,2.4384
2.19,7.67,84.279999,1.8288
2.06,7.85,85.959991,1.8288
1.9,7.71,84.239998,1.8288
1.78,6.32,87.07,1.8288
1.75,6.33,91.519997,1.8288
1.97,6.09,91.799995,1.2192
2.15,6.78,92.069992,1.8288
2.32,7.76,90.279999,2.4384
2.33,8.139999,95.899994,2.4384
2.27,7.54,88.309998,2.4384
2.21,7.51,88.269997,2.4384
2.18,7.04,76.459999,2.4384
2.24,6.94,74.629997,2.4384
2.14,6.98,74.489998,2.4384
1.85,6.38,74.540001,2.4384
2.06,6.13,74.669998,2.4384
2.16,6.47,73.169998,1.8288
2.09,6.69,79.82,1.2192
1.82,7.429999,78.979996,1.2192
1.52,4.75,82.160004,1.2192
1.7,5.69,77.43,1.2192
2.03,6.36,76.119995,1.2192
2.03,6.52,75.340004,1.8288
2.02,7.03,65.889999,1.8288
1.97,6.99,66.889992,1.8288
1.74,6.84,73.950005,1.8288
1.71,7.09,77.389999,1.8288
1.91,7.23,80.599998,1.2192
1.96,7.309999,83.800003,1.2192
1.93,7.059999,82.869995,1.8288
2.09,6.13,78,1.8288
2.37,7.08,71.330002,1.2192
2.33,7.41,63.66,1.2192
2.25,7.82,66.669998,2.4384
2.13,8.53,67.57,2.4384
2.12,8.530001,68.649994,2.4384
1.7,8.13,80.169998,1.8288
1.65,10.139999,83.829994,1.8288
1.66,10.05,82.509995,1.2192
1.58,8.48,79.330002,1.2192
1.91,6.48,79.620003,1.2192
1.99,6.76,83.360001,1.2192
2.38,7.09,77.790001,2.4384
2.59,7.64,76.919998,2.4384
2.46,7.66,77.119995,2.4384
2.26,7.32,84.089996,2.4384
2.3,7.42,81.480003,2.4384
2.24,7.45,81.629997,1.8288
2.39,7.48,83.919998,1.8288
2.11,7.71,87.900002,1.8288
1.78,8.15,85.909996,1.8288
1.79,8.13,86.779999,1.8288
1.71,7.56,91.830002,1.8288
1.73,7.73,97.739998,1.8288
1.83,5.89,80.25,1.8288
1.92,5.82,80.18,1.8288
1.98,6.08,84.040001,1.8288
1.91,6.59,87.019997,1.8288
1.65,7.48,86.289993,1.2192
1.54,4.76,81.629997,1.2192
1.6,5.25,82.339996,1.2192
1.64,5.88,82.089996,1.2192
1.95,5.96,90.889999,1.2192
2.08,6.22,94.470001,2.4384
2.12,6.34,91.709999,2.4384
2.19,10.15,70.949997,2.4384
2.21,10.04,75.149994,1.8288
2.06,9.129999,71.709999,1.2192
2.06,7.59,77.509995,1.8288
2,7.05,78.900002,1.8288
1.78,7.52,83.419998,1.8288
1.85,7.5,59.269997,1.8288
2,6.21,74.010002,1.2192
2.21,6.33,74.010002,1.8288
2.72,7.08,70.459999,1.8288
3.04,7.43,67.360001,3.048
2.86,8.02,64.650002,1.8288
2.41,7.97,74.529999,1.8288
2.11,7.82,79.519997,1.8288
1.7,8.03,93.629997,1.8288
1.58,5.2,81.25,1.2192
1.97,5.77,75.559998,1.8288
2.19,6.16,73.739998,1.2192
2.32,6.44,84.339996,1.2192
2.31,6.72,87.059998,1.8288
1.98,6.91,91.799995,1.8288
1.86,7.56,97.839996,1.8288
1.61,7.5,97.160004,1.8288
2.2,10.98,330.070007,1.2192
2.2,10.76,330.850006,1.8288
2.19,10.42,331.109985,2.4384
2.02,10.190001,327.009979,1.2192
1.74,10.26,350.929993,0.6096
1.5,9.04,359.559998,2.4384
1.68,8.79,336.679993,1.8288
1.69,8.219999,344.709991,1.8288
2.12,5.71,95.82,1.8288
2.22,6.61,81.949997,1.2192
2.21,6.81,80.239998,1.8288
2.07,6.94,79.769997,1.8288
2.1,7.43,75.830002,1.8288
2.41,8.94,70.989998,2.4384
2.74,8.41,79.839996,2.4384
2.74,8.35,80.299995,2.4384
2.65,8.309999,80.120003,1.8288
2.46,8.21,74.149994,1.8288
1.98,7.89,68.199997,1.8288
1.76,7.78,60.439999,1.8288
1.8,8.22,72.290001,1.8288
1.93,8.86,48.23,1.8288
2.13,14.679999,314.25,1.2192
2.18,14.16,314.209991,1.2192
2.66,12.389999,320.600006,2.4384
3.83,12.22,327.419983,3.6576
3.79,12.17,327.950012,3.048
2.75,10.66,329.009979,2.4384
3.39,14.509999,319.820007,3.048
3.34,13.76,319.409973,2.4384
2.6,11.879999,319.499969,1.2192
2.35,10.05,320.319977,1.2192
2.26,12.469999,333.459991,1.2192
2.68,13.27,324.980011,1.2192
2.81,12.45,326.929993,1.8288
2.51,11.24,323.619995,1.8288
2.58,12.969999,315.98999,1.8288
2.53,12.24,317.440002,6.096
4.77,14.62,334.959991,6.096
4.41,14.129999,333.5,4.2672
3.28,12.25,341,3.048
2.62,11.58,342.769989,2.4384
2.16,10.68,340.47998,1.8288
1.65,9.77,331.959991,1.2192
2.44,12.56,306.76001,1.2192
2.48,12.469999,306.849976,1.2192
2.21,11.78,306.449982,1.2192
2.4,12.24,317.299988,1.2192
2.53,14.530001,331.820007,1.2192
2.4,12.57,319.179993,1.8288
2.28,12.02,316.859985,1.2192
2.76,10.9,315.72998,2.4384
2.82,10.690001,315.390015,2.4384
2.65,10.21,321.48999,2.4384
2.35,14.69,310,2.4384
3.55,13.07,312.569977,3.048
3.97,7.3,35.099998,3.6576
3.8,7.76,53.219997,3.048
3.14,8.57,63.329998,1.8288
2.49,8.26,65.079994,1.8288
3.24,15.69,327.959991,1.8288
3.86,14.61,326.469971,1.8288
3.55,13.379999,323.100006,1.8288
4.11,13.71,326.809998,1.8288
4.14,13.71,324.600006,1.2192
3.48,18.129999,320.019989,1.8288
5.88,16.360001,317.939972,2.4384
5.75,16.099998,318.609985,2.4384
4.02,13.42,316.850006,1.8288
4.02,12.059999,332.919983,7.3152
4.33,13.83,342.259979,9.144
4.12,13.57,341.419983,4.8768
3.08,14.799999,310.039978,1.8288
3.48,13.38,308.279999,1.2192
3.94,13.26,314.429993,2.4384
3.59,12.17,319.320007,2.4384
3.41,14.679999,312.23999,1.8288
4.24,13.6,316.119995,1.8288
4.28,13.48,316.929993,2.4384
3.51,12.28,318.019989,2.4384
2.92,7.04,74.190002,2.4384
3.6,14.52,318.079987,2.4384
3.57,14.24,318.889984,1.8288
3.06,13.139999,319.589996,1.8288
2.62,11.85,328.219971,2.4384
4.87,15.95,323.380005,2.4384
4.39,15.19,320.309998,1.8288
3.23,12.25,317.170013,2.4384
3.19,12.15,318.039978,2.4384
2.8,11.209999,318.230011,2.4384
2.65,8.05,91.860001,2.4384
3.64,16.07,318.549988,3.048
4.04,14.77,316.160004,3.048
3.6,13.6,314.309998,2.4384
3.28,12.17,321.130005,2.4384
3.14,11.71,319.069977,1.8288
2.89,12.089999,314.649994,1.8288
2.57,5.99,72.419998,1.8288
3.58,8.2,77.669998,3.6576
3.55,8.35,77.519997,3.048
2.83,8.57,83.659996,1.8288
3.67,14.41,312.529999,1.8288
