@relation 2204

@attribute ww3PeriodPrevLect2 numeric
@attribute ww3PeriodPrevLect1 numeric
@attribute ww3Direction numeric
@attribute ww3Period numeric
@attribute ww3DirectPrevLect3 numeric
@attribute ww3HeightPrevLect3 numeric
@attribute ww3DirectPrevLect2 numeric
@attribute ww3Height numeric
@attribute ww3HeightPrevLect2 numeric
@attribute ww3DirectPrevLect1 numeric
@attribute ww3HeightPrevLect1 numeric
@attribute ww3PeriodPrevLect3 numeric
@attribute visualObservation numeric

@data
13.43,13.419999,309.429993,13.41,311.259979,3.37,310.649994,3.53,3.41,310.019989,3.47,13.469999,5.4864
13.41,13.4,307.889984,13.389999,309.429993,3.53,308.899994,3.61,3.57,308.409973,3.59,13.41,5.4864
13.309999,13.27,306.559998,13.2,306.539978,3.54,306.379974,3.27,3.47,306.410004,3.38,13.34,4.2672
8.54,8.5,303.940002,17.969999,78.989998,2.31,80.099998,2.62,2.32,81.400002,2.42,8.549999,9.144
15.37,15.039999,297.300018,14.849999,299.609985,3.32,299.459991,3.34,3.37,298.299988,3.38,15.91,7.3152
14.849999,14.719999,295.709991,14.610001,298.299988,3.38,297.300018,3.21,3.34,296.559998,3.28,15.039999,4.2672
13.38,13.28,294.899994,13.16,294.890015,2.8,294.790009,2.67,2.76,294.820007,2.73,13.49,3.048
12.16,12.099999,298.040009,12.03,296.619995,2.3,297.059998,2.15,2.25,297.539978,2.2,12.22,7.3152
14.34,13.87,307.049988,13.59,308.920013,3.27,308.799988,3.34,3.41,307.399994,3.41,14.869999,9.144
13.59,13.42,306.769989,13.29,307.399994,3.41,307.049988,3.19,3.34,306.839996,3.26,13.87,3.6576
16.200001,15.78,306.579987,15.059999,310.419983,2.28,307.079987,2.57,2.38,306.880005,2.48,11.02,6.096
13.65,13.559999,301.549988,13.49,303.919983,2.75,303.019989,2.89,2.8,302.190002,2.85,13.82,4.8768
13.559999,13.49,300.98999,13.429999,303.019989,2.8,302.190002,2.9,2.85,301.549988,2.89,13.65,4.8768
12.52,12.36,303.549988,12.24,302.149994,2.8,302.569977,2.63,2.76,303.01001,2.7,12.75,4.2672
14.299999,13.91,299.919983,13.65,302.099976,2.28,301.98999,2.31,2.31,299.720001,2.32,14.55,4.2672
13.65,13.51,299.919983,13.389999,299.720001,2.32,299.919983,2.24,2.31,299.959991,2.28,13.91,2.4384
12.15,12.049999,298.399994,11.98,298.279968,1.99,298.470001,1.77,1.91,298.509979,1.84,12.379999,1.8288
12.08,12.14,303.309998,12.19,298.679993,1.41,299.919983,1.63,1.45,301.669983,1.52,12.04,3.048
13.3,13.12,318.790009,12.87,315.850006,2.22,317.390015,2.4,2.32,318.410004,2.39,13.610001,4.2672
12.87,12.36,317.290009,12.139999,318.410004,2.39,318.790009,2.34,2.4,317.089996,2.39,13.12,2.4384
16.309999,15.99,302.72998,15.619999,303.380005,2.36,303.410004,3.35,2.72,303.130005,3.07,16.82,7.3152
15.619999,15.11,302.610016,14.91,303.130005,3.07,302.72998,3.59,3.35,303.289978,3.53,15.99,6.096
14.190001,13.65,299.47998,13.4,299.670013,3.23,298.769989,2.84,3.09,300.329987,2.95,14.42,3.048
12.059999,11.969999,298.889984,11.88,299.369995,2.45,299.069977,2.27,2.38,298.899994,2.32,12.18,1.8288
11.08,11.049999,306.880005,11.02,305.72998,2.2,306.529999,2.07,2.17,306.910004,2.12,11.12,4.2672
11.01,11.16,315.789978,11.48,305.350006,1.97,308.230011,2.09,2.04,311.880005,2.08,10.919999,3.048
12.08,12.9,326.130005,12.6,335.72998,2.21,332.399994,2.82,2.42,330.179993,2.66,11.24,4.8768
12.9,12.6,324.659973,12.02,332.399994,2.42,330.179993,2.84,2.66,326.130005,2.82,12.08,4.2672
9.219999,15.11,311.820007,14.64,14.97,2.43,35.209999,2.68,2.53,311.649994,2.61,9.440001,4.8768
