1994  1  1   10    6    1    1    2    2   17   15  999          
1994  1  2   15    8    2    2    2    4    2   15  999          
1994  1  3   12    8    1    2    4    5    4   16  999          
1994  1  4    8    4    1    2    3    3    5   16  999          
1994  1  5    3    2    1    1    3    2   17  999  999          
1994  1  6   10    4    1    1    6    5    2   16  999          
1994  1  7    7    6    1    1    4    4    5   16  999          
1994  1  8    3    2    1    1    3    3    5    1  999          
1994  1  9    2    1    1    1    3    2   17  999  999          
1994  1 10    4    3    1    1    2    2   17   15  999          
1994  1 11   15   10    1    1    2    2   17   14  999          
1994  1 12   18   10    1    1    3    3    1   15  999          
1994  1 13   15    6    1    1    6    4    5   15  999          
1994  1 14    6    4    1    1    3    3    6   15  999          
1994  1 15   15   12    2    2    6    3   10   15  999          
1994  1 16   15   12    2    3    6    4    1   16  999          
1994  1 17   10    5    1    2    5    3    3   16  999          
1994  1 18    5    2    1    2    5    6    3   16  999          
1994  1 19    5    2    1    2    5    6    3   16  999          
1994  1 20    7    3    1    2    4    6    3   15  999          
1994  1 21    5    3    1    2    4    6    3   18  999          
1994  1 22    4    2    1    2    4    6    3    3  999          
1994  1 23    3    1    1    2    4    6    3    3  999          
1994  1 24    3    1    1    2    4    5    4    3  999          
1994  1 25    3    1    1    3    4    5    5    3  999          
1994  1 26    8    3    1    2    3    3    5   16  999          
1994  1 27    6    3    1    2    4    3   15   16  999          
1994  1 28   15    7    1    2    4    3    2   15  999          
1994  1 29   18   10    1    2    8    2   17   15  999          
1994  1 30   15    7    1    2    5    2   17   15  999          
1994  1 31   20   12    1    2    8    3    3   15  999          
1994  2  1   10    5    1    2    4    4    4   15  999          
1994  2  2    7    3    1    2    3    4    4   14  999          
1994  2  3    6    3    4    4    3    5    4   15    9          
1994  2  4    5    3    3    3    3    6    4   15    9          
1994  2  5    4    3    2    3    3    6    4   15  999          
1994  2  6    2    2    1    3    3    6    4  999  999          
1994  2  7    5    2    3    3    5    5    4    1  999          
1994  2  8    6    3    1    2    3    4    4   15  999          
1994  2  9    5    3    1    2    3    3    4   15  999          
1994  2 10    3    1    1    2    2    4    4  999  999          
1994  2 11    2    1    1    2    2    4    4  999  999          
1994  2 12   12    6    1    2    4    3    6   14  999          
1994  2 13    5    2    1    2    4    3    6   14  999          
1994  2 14    3    2    1    2    4    3    9  999  999          
1994  2 15    4    2    1    2    4    3    6   14  999          
1994  2 16    4    2    1    2    4    3    6   18  999          
1994  2 17    6    2    1    2    4    3    7   18  999          
1994  2 18    6    3    1    2    4    3    7   18  999          
1994  2 19    5    1    1    2    4    2   17    1  999          
1994  2 20    4    1    1    1    4    3   10    1  999          
1994  2 21    2    2    1    2    3    3   10  999  999          
1994  2 22    2    1    1    2    2    3   10  999  999          
1994  2 23    8    4    2    3    3    2   17   14    9          
1994  2 24    9    4    2    3    3    3    2   16    9          
1994  2 25    7    4    2    3    3    4    3   16  999          
1994  2 26    8    5    1    2    3    3    4   14  999          
1994  2 27    8    6    1    2    2    2   17   14  999          
1994  2 28    6    4    1    2    2    2   17   14  999          
1994  3  1    7    4    2    2    2    2   17   14  999          
1994  3  2    5    3    2    2    1    2   17   14  999          
1994  3  3    4    2    2    2    1    2   17   14  999          
1994  3  4    4    2    1    2    3    3    8   18  999          
1994  3  5    3    1    1    2    2    3   11    1  999          
1994  3  6    3    1    1    1    2    2   17    1  999          
1994  3  7    8    4    1    1    3    2   17   15  999          
