@relation NoBuoyStrategy

@attribute ww3Height numeric
@attribute ww3Period numeric
@attribute ww3Direction numeric
@attribute visualObservation numeric

@data
1.92,7.55,78.449997,1.2192
1.83,7.889999,80.089996,0.6096
1.8,7.97,81.069992,1.2192
1.73,7.85,81.970001,1.2192
1.62,13.559999,183.949997,1.2192
1.53,12.129999,185.009995,0.6096
1.65,6.04,82.739998,0.6096
1.68,7.37,91.509995,0.6096
1.88,8.02,92.749992,0.6096
1.87,8.41,93.239998,0.6096
1.97,7.49,83.489998,0.6096
1.91,7.48,83.589996,1.8288
1.88,7.1,71.169998,2.4384
1.93,6.95,66.479996,2.4384
1.86,6.92,66.949997,1.8288
1.52,6.42,64.730003,1.2192
1.74,6.03,68.879997,0.6096
1.82,6.47,64.620003,0.6096
1.79,6.66,73.389999,0.6096
1.58,7.889999,72.07,0.6096
1.32,7.599999,75.610001,0.6096
1.41,6.74,40.009998,0.6096
1.65,6.57,66.889999,0.6096
1.66,7.08,59.439999,0.6096
1.69,7.08,60.309998,1.2192
1.62,7.07,60.75,1.2192
1.5,6.9,68.400002,1.2192
1.38,7.309999,78.419998,1.2192
1.67,7.21,75.589996,1.2192
1.7,7.29,82.349998,1.2192
1.69,7.3,85.269997,1.8288
1.8,12.25,179.319992,1.2192
1.98,7.11,65.900002,0.6096
2.02,8.059999,60.57,0.6096
1.99,8.03,65.860001,0.6096
1.78,8.61,64.599998,1.2192
1.76,8.6,65.669998,1.2192
1.44,8.23,80.029999,1.2192
1.39,10.17,87.360001,1.2192
1.44,9.89,81.669998,0.6096
1.33,9.11,80.900002,0.6096
1.52,6.75,68.299995,0.6096
1.6,6.84,78.269997,0.6096
1.89,7.59,71.389999,0.6096
2.09,7.63,68.480003,0.6096
2.05,7.67,70.330002,0.6096
1.8,7.44,77.689995,0.6096
1.91,7.47,76.610001,0.6096
1.86,7.5,77.220001,0.6096
1.74,7.86,79.979996,0.6096
1.67,7.92,83.029999,0.6096
1.46,8.27,89.689995,0.6096
1.49,8.19,89.93,1.2192
1.41,8.01,103.259995,1.2192
1.55,7.84,96.459999,1.2192
1.67,5.32,72.980003,1.2192
1.69,5.68,73.050003,2.4384
1.76,6.38,77.029999,2.4384
1.71,7.42,84.279999,1.8288
1.57,7.48,82.559998,1.8288
1.46,13.4,189.259995,1.2192
1.54,5.62,72.57,2.4384
1.45,5.72,72.079994,2.4384
1.58,12.889999,212.509995,3.048
1.79,11.98,230.199997,3.048
1.87,11.46,239.419983,3.048
1.89,10.23,75.979996,1.8288
1.91,10,79.959999,1.8288
1.79,9.15,71.839996,0.6096
1.74,7.23,72.840004,1.8288
1.67,7.21,73.540001,1.2192
1.55,7.57,83.419998,0.6096
1.55,7.61,57.189999,1.2192
1.78,6.94,62.32,0.6096
1.87,19.4,179.87999,0.6096
2.37,16.5,183.019989,3.048
2.62,14.86,184.849991,2.4384
2.52,8.280001,57.939999,1.8288
2.11,8.24,73.889992,0.6096
1.81,7.82,75.599998,0.6096
1.46,7.84,82.730003,0.6096
1.48,4.98,74.790001,0.6096
1.64,5.84,70.379997,0.6096
1.84,6.29,70.069992,0.6096
1.79,6.26,71.459999,0.6096
1.78,6.77,76.810005,0.6096
1.76,7.41,88.039993,0.6096
1.57,7.64,92.779999,0.6096
1.29,7.54,93.290001,1.8288
1.97,11.28,327.089996,3.048
2.01,10.879999,328.119995,3.048
2,10.749999,266.459991,3.048
1.93,13.32,188.979996,2.4384
1.65,11.75,192.889984,1.2192
1.4,9.26,353.669983,1.8288
1.52,8.77,337.139984,1.8288
1.51,8.77,337.049988,2.4384
1.83,13.04,314.089996,1.8288
1.85,6.73,74.639999,0.6096
1.92,7,71.330002,0.6096
1.63,7.15,70.719994,0.6096
1.65,7.66,71.899994,0.6096
1.96,9.01,68.599998,0.6096
2.24,8.47,78.290001,0.6096
2.26,8.4,78.529991,1.2192
2.22,8.54,74.43,1.2192
2.1,8.46,72.549995,1.2192
1.72,8.82,30.91,1.8288
1.55,7.929999,58.599998,2.4384
1.72,14.46,194.409988,3.048
1.83,13.549999,194.979996,1.2192
1.79,14.669999,303.190002,2.4384
1.97,13.13,302.809998,1.8288
2.36,12.440001,315.320007,3.048
3.33,12.23,328.639984,4.2672
3.36,12.22,329.070007,2.4384
2.56,10.879999,329.410004,6.096
2.98,14.45,320.959991,4.8768
2.95,14.059999,319.589996,2.4384
2.27,11.99,320.019989,1.2192
2.11,10.039999,320.920013,1.2192
2.07,11.46,326.549988,1.2192
2.26,13.349999,314.890015,1.2192
2.48,12.67,324.529999,1.2192
2.16,11.419999,322.579987,3.048
2.2,12.87,320.499969,2.4384
2.19,12.389999,318.809998,6.096
4.34,14.76,335.459991,6.096
4.04,14.379999,337.869995,3.6576
3.01,12.309999,340.830017,2.4384
2.36,11.78,345.419983,1.8288
2.03,10.84,341.029999,1.2192
1.65,5.14,82.300003,1.2192
2.23,12.64,307.619995,2.4384
2.24,12.46,307.709991,1.8288
2.06,11.92,306.919983,1.8288
2.18,12.940001,325.410004,2.4384
2.28,13.59,325.109985,2.4384
2.12,12.99,322.190002,1.8288
1.97,12.08,315.519989,1.2192
2.35,10.97,315.72998,1.2192
2.48,10.799999,315.980011,1.2192
2.34,10.219999,323.380005,1.2192
2.11,14.799999,308.480011,1.8288
2.8,13.14,312.889984,3.048
3.3,11.99,317.399994,2.4384
3.21,11.839999,318.390015,1.2192
2.73,9.49,35.360001,1.2192
2.24,8.36,57.209999,1.8288
2.67,16.119999,328.289978,4.2672
3.41,14.76,327.439972,3.6576
3.23,13.43,324.149994,2.4384
3.59,13.71,329.649994,4.8768
3.67,13.74,327.47998,2.4384
2.74,12.16,315.47998,7.3152
5.14,16.32,319.269989,9.144
5.09,16.189999,319.619995,6.096
3.73,13.639999,318.190002,3.048
3.4,11.839999,333.039978,6.096
3.96,14.01,343.029999,6.096
3.85,13.66,341.359985,2.4384
2.64,14.969999,311.130005,4.2672
3.13,13.43,309.519989,3.048
3.44,12.73,319.329987,4.8768
3.25,12.25,320.220001,3.048
2.97,14.79,312.919983,6.096
3.73,13.74,315.790009,4.8768
3.81,13.47,318.019989,2.4384
3.28,12.37,318.849976,1.8288
2.73,7.01,72.480003,1.8288
3.21,14.529999,319.139984,3.048
3.19,14.389999,319.410004,2.4384
2.75,13.259999,319.080017,1.8288
2.24,11.999999,323.690002,4.8768
4.36,16.09,327.320007,7.3152
4.04,15.57,323.76001,3.6576
2.98,12.29,316.399994,3.048
2.91,12.17,317.469971,1.8288
2.5,11.219999,319.160004,1.2192
2.16,8.389999,89.599998,1.2192
2.94,16.559999,319.179993,4.2672
3.42,14.87,317.079987,3.6576
3.11,13.73,314.160004,2.4384
2.84,12.27,320.329987,1.8288
2.78,11.86,318.119995,1.2192
2.56,12.08,314.619995,0.6096
2.19,11.309999,318.119995,0.6096
2.92,7.78,71.179993,0.6096
3,8.37,74.139992,1.2192
2.49,8.599999,74.900002,2.4384
3.19,14.53,313.200012,3.048
