@relation NoWW3Strategy

@attribute buoyHeight numeric
@attribute buoyPeriod numeric
@attribute buoyDirection numeric
@attribute visualObservation numeric

@data
1.48,9.09,48,0.6096
1.55,9.09,44,1.2192
1.48,9.09,44,2.4384
1.12,7.69,35,1.8288
0.78,10.53,41,0.6096
0.74,10.53,38,0.6096
0.81,3.03,54,0.6096
1.53,6.67,42,0.6096
1.74,7.14,41,0.6096
1.69,7.14,42,0.6096
1.21,7.69,45,0.6096
1.1,7.14,44,0.6096
1.04,6.25,49,0.6096
1.06,5.88,48,0.6096
1.24,5.56,38,0.6096
1.43,7.14,38,0.6096
1.29,6.67,47,0.6096
1.21,7.14,48,0.6096
1.2,6.25,47,0.6096
1.18,6.67,48,0.6096
1.16,7.69,49,0.6096
1.23,8.33,51,0.6096
1.2,7.69,51,1.2192
1.15,7.69,45,1.2192
1.25,7.69,37,1.2192
1.35,7.69,38,0.6096
1.7,7.69,45,0.6096
1.67,7.69,45,0.6096
1.35,6.67,35,0.6096
1.25,7.14,38,0.6096
1.11,7.69,35,0.6096
1.02,7.69,41,0.6096
1.02,5.56,51,0.6096
1.03,6.25,47,0.6096
2.05,8.33,37,1.2192
2.03,8.33,40,1.2192
1.61,7.69,44,1.2192
1.55,6.25,47,2.4384
1.72,7.69,49,1.8288
1.26,8.33,40,1.2192
2.08,10.53,35,2.4384
2.28,9.88,35,2.4384
1.92,9.88,37,2.4384
1.76,10.53,35,1.8288
1.85,6.25,37,1.8288
1.76,7.69,38,1.8288
1.84,8.33,40,1.8288
1.56,7.69,35,1.8288
1.52,9.09,42,1.8288
1.56,5.56,37,4.8768
2.6,12.5,35,4.2672
2.26,12.5,35,3.6576
2.54,9.09,35,7.3152
