@relation NoBuoyStrategy

@attribute ww3Height numeric
@attribute ww3Period numeric
@attribute ww3Direction numeric
@attribute visualObservation numeric

@data
1.95,7.3,76.230003,0.6096
1.92,7.44,76.259995,1.2192
1.86,7.92,80.659996,0.6096
1.84,7.98,81.299995,1.2192
1.76,8.16,90.529999,1.2192
1.62,13.539999,183.12999,1.2192
1.52,12.07,184.289993,0.6096
1.64,6.12,81.309998,0.6096
1.64,6.38,76.159996,0.6096
1.85,7.62,83.909996,0.6096
1.85,8.3,93.879997,0.6096
1.89,7.62,82.939995,0.6096
1.88,7.5,82.68,1.8288
1.97,7.08,70.989998,2.4384
1.98,6.98,67.089996,2.4384
1.94,6.96,67.129997,1.8288
1.64,6.47,65.480003,1.2192
1.74,5.86,63.82,0.6096
1.82,6.36,64.659996,0.6096
1.78,6.42,64.040001,0.6096
1.55,7.349999,73,0.6096
1.32,7.55,81.650002,0.6096
1.39,6.679999,45.029999,0.6096
1.57,6.48,64.979996,0.6096
1.65,7,62.089996,0.6096
1.67,7.11,61.939999,1.2192
1.64,7.1,62.220001,1.2192
1.48,6.93,68.810005,1.2192
1.35,7.3,81.040001,1.2192
1.64,6.88,72.809998,1.2192
1.73,7.01,74.639999,1.2192
1.74,13.539999,180.119995,1.8288
1.78,12.25,179.249985,1.2192
2,7.15,64.899994,0.6096
1.99,7.54,58.82,0.6096
1.95,8.01,63.299999,0.6096
1.75,7.76,71.43,1.2192
1.73,8.75,68.049995,1.2192
1.5,8.4,78.169998,1.2192
1.33,10.24,95.369995,1.2192
1.41,9.46,86.659996,0.6096
1.38,9.219999,85.660004,0.6096
1.42,6.75,64.639992,0.6096
1.52,6.88,76.199997,0.6096
1.78,7.53,71.43,0.6096
2.05,7.67,68.229996,0.6096
2.03,7.69,68.839996,0.6096
1.85,7.65,78.229996,0.6096
1.86,7.55,76.279999,0.6096
1.86,7.559999,76.919998,0.6096
1.71,7.67,78.029999,0.6096
1.64,7.92,80.690002,0.6096
1.4,8.349999,92.879997,0.6096
1.44,8.28,93.349998,1.2192
1.41,8.08,106.43,1.2192
1.51,8.08,110.879997,1.2192
1.69,5.35,71.080002,1.2192
1.75,5.78,68.410004,2.4384
1.75,6.23,72.419998,2.4384
1.69,6.48,74.229996,1.8288
1.56,7.52,84.449997,1.8288
1.47,13.37,189.799988,1.2192
1.53,12.4,193.469986,2.4384
1.47,12.32,193.470001,2.4384
1.6,12.77,209.109985,3.048
1.8,11.86,232.229996,3.048
1.86,11.039999,243.329987,3.048
1.82,10.29,11.469999,1.8288
1.87,9.96,91.339996,1.8288
1.82,9.23,74.519997,0.6096
1.77,7.42,78.380005,1.8288
1.72,7.3,83.099998,1.2192
1.54,7.54,87.869995,0.6096
1.53,7.6,59.929996,1.2192
1.76,7.27,62.009998,0.6096
1.9,19.360001,179.669983,0.6096
2.4,16.5,182.440002,3.048
2.59,14.849999,184.159988,2.4384
2.55,8.23,59.98,1.8288
2.11,8.16,75.339996,0.6096
1.8,7.86,76.129997,0.6096
1.49,7.9,83.879997,0.6096
1.51,5.11,73.129997,0.6096
1.55,6.14,62.199997,0.6096
1.82,6.46,69.439995,0.6096
1.8,6.4,71.239998,0.6096
1.82,6.62,74.889999,0.6096
1.69,6.78,82.579994,0.6096
1.55,7.57,93.769997,0.6096
1.26,7.59,95.25,1.8288
2.1,11.12,329.26001,3.048
2.12,10.94,329.759979,3.048
2.08,10.77,273.209991,3.048
1.98,13.309999,187.229996,2.4384
1.67,10.57,344.019989,1.2192
1.43,9.22,352.440002,1.8288
1.57,8.7,337.519989,1.8288
1.55,8.65,338.070007,2.4384
1.87,11.64,313.130005,1.8288
1.83,11.26,314.549988,0.6096
1.82,6.99,73.400002,0.6096
1.66,7.17,72.079994,0.6096
1.61,7.66,72.399994,0.6096
1.86,8.83,72.459999,0.6096
2.26,8.72,77.629997,0.6096
2.29,8.639999,77.169998,1.2192
2.27,8.66,76.720001,1.2192
2.16,8.599999,75.139992,1.2192
1.76,8.84,36.330002,1.8288
1.59,7.62,64.799995,2.4384
1.78,14.47,193.330002,3.048
1.86,13.440001,194.089996,1.2192
1.87,14.589999,306.269989,2.4384
2.05,13.16,304.600006,1.8288
2.43,12.33,317.48999,3.048
3.41,12.16,330.279999,4.2672
3.4,12.12,330.830017,2.4384
2.55,10.759999,329.679993,6.096
3.11,14.459999,320.769989,4.8768
3.04,13.7,320.049988,2.4384
2.31,11.9,320.749969,1.2192
1.97,9.959999,321.390015,1.2192
2.12,11.28,326.98999,1.2192
2.33,13.309999,319.299988,1.2192
2.47,12.53,324.259979,1.2192
2.16,11.28,321.619995,3.048
2.26,12.51,318.849976,2.4384
2.24,12.28,317.540009,6.096
4.29,14.62,337.440002,6.096
3.98,14.190001,339.950012,3.6576
2.95,12.22,342.100006,2.4384
2.28,11.57,343.589996,1.8288
1.94,10.690001,340.940002,1.2192
1.75,13.719999,305.720001,1.2192
2.35,12.54,307.5,2.4384
2.35,12.5,307.509979,1.8288
2.09,11.81,306.959991,1.8288
2.11,12.789999,316.399994,2.4384
2.17,13.18,320.449982,2.4384
2.1,12.559999,315.630005,1.8288
2,11.98,315.019989,1.2192
2.42,10.97,314.699982,1.2192
2.48,10.889999,314.799988,1.2192
2.36,10.27,321.929993,1.2192
2.26,14.73,308.220001,1.8288
3.09,13.09,312.429993,3.048
3.49,7.75,43.219997,2.4384
3.35,7.83,47.089996,1.2192
2.76,9.86,355.069977,1.2192
2.24,8.299999,60.719997,1.8288
2.87,15.849999,329.029999,4.2672
3.48,14.66,327.419983,3.6576
3.28,13.369999,324.179993,2.4384
3.79,13.84,328.880005,4.8768
3.85,13.84,326.75,2.4384
3.26,18.199999,321.519989,7.3152
5.38,16.389999,319.859985,9.144
5.27,16.099998,320.549988,6.096
3.78,13.49,318.369995,3.048
3.38,11.539999,329.929993,6.096
3.76,13.709999,340.519989,6.096
3.62,13.45,340.079987,2.4384
2.9,14.759999,311.009979,4.2672
3.28,13.36,309.299988,3.048
3.42,13.1,312.75,4.8768
3.2,12.15,319.179993,3.048
3.18,14.62,313.289978,6.096
3.92,13.629999,316.619995,4.8768
3.96,13.43,318.269989,2.4384
3.25,12.28,318.949982,1.8288
2.66,7.04,69.560005,1.8288
3.17,14.54,319.329987,3.048
3.15,14.23,319.940002,2.4384
2.74,13.19,319.450012,1.8288
2.27,11.969999,325.47998,4.8768
4.38,16.049999,325.230011,7.3152
4.04,15.3,322.230011,3.6576
2.9,12.19,315.350006,3.048
2.86,12.11,316.389984,1.8288
2.5,11.23,317.619995,1.2192
2.15,11.289999,320.720001,1.2192
3.08,15.889999,319.410004,4.2672
3.46,14.74,316.380005,3.6576
3.12,13.58,313.779999,2.4384
2.86,12.25,319.5,1.8288
2.82,11.82,318.929993,1.2192
2.56,12.07,315.070007,0.6096
2.24,11.009999,317.970001,0.6096
2.83,7.87,69.069992,0.6096
2.84,8.17,67.939995,1.2192
2.44,9.36,99.089996,2.4384
3.32,14.41,312.450012,3.048
